id	pop	ins	lat	lng
186	0	0	0.000000	0.000000
TJK	0	0	38.530454	71.013626
GAB	0	0	-0.586600	11.788629
AFG	5	5	33.835231	66.004734
BEL	30	19	50.639816	4.640651
MMR	0	0	21.185666	96.488433
219	0	0	0.000000	0.000000
BLR	0	0	53.531314	28.032093
MWI	1	1	-13.218081	34.289356
DEU	92	79	51.106982	10.385781
FJI	0	0	-17.428580	165.451954
MKD	0	0	41.595309	21.682113
174	0	0	0.000000	0.000000
208	0	0	0.000000	0.000000
CYP	1	1	34.916672	33.006002
215	1	1	0.000000	0.000000
SEN	1	1	14.366242	-14.473492
GUY	0	0	4.793780	-58.982025
187	0	0	0.000000	0.000000
CUB	0	0	21.622895	-79.016054
LSO	0	0	-29.580032	28.227231
MYS	3	3	3.789868	109.697623
160	0	0	0.000000	0.000000
207	0	0	0.000000	0.000000
SWZ	0	0	-26.558430	31.481937
ROU	1	1	45.852431	24.972930
SUR	0	0	4.130554	-55.912346
BLZ	0	0	17.200275	-88.710105
